Provider|Event ID|Channel|Message
Microsoft-Windows-WebIO|1|Microsoft-Windows-WebIO/Diagnostic|{ApiObject}: WebInitialize completed successfully (ApiVersion {ApiVersion}) (Flags {Flags}) -> (API Handle = {ApiHandle}).
Microsoft-Windows-WebIO|2|Microsoft-Windows-WebIO/Diagnostic|WebInitialize failed with an error = {Error} (ApiVersion {ApiVersion}) (Flags {Flags})
Microsoft-Windows-WebIO|3|Microsoft-Windows-WebIO/Diagnostic|{ApiObject} WebTerminate completed successfully. (Handle {ApiHandle}) (Flags {Flags})
Microsoft-Windows-WebIO|4|Microsoft-Windows-WebIO/Diagnostic|{ApiObject} WebTerminate failed with an error = {Error}. (Handle {ApiHandle}) (Flags {Flags})
Microsoft-Windows-WebIO|5|Microsoft-Windows-WebIO/Diagnostic|{Session}: WebCreateSession completed successfully. (ApiHandle {ApiObject}[{ApiHandle}]) (Flags: {Flags}) -> (Session Handle: {SessionHandle})
Microsoft-Windows-WebIO|6|Microsoft-Windows-WebIO/Diagnostic|{ApiObject}: WebCreateSession failed with an error = {Error}. (ApiHandle {ApiObject}[{ApiHandle}]) (Flags: {Flags})
Microsoft-Windows-WebIO|7|Microsoft-Windows-WebIO/Diagnostic|{ApiObject}: WebCloseSession called (Handle {ApiHandle}) (Flags {Flags})
Microsoft-Windows-WebIO|8|Microsoft-Windows-WebIO/Diagnostic|{ApiObject}: WebCloseSession failed with an error = {Error}. (Handle {ApiHandle}) (Flags {Flags})
Microsoft-Windows-WebIO|9|Microsoft-Windows-WebIO/Diagnostic|{Api}({ApiHandle}) API called.
Microsoft-Windows-WebIO|10|Microsoft-Windows-WebIO/Diagnostic|{Api}({ApiHandle}) API returned successfully.
Microsoft-Windows-WebIO|11|Microsoft-Windows-WebIO/Diagnostic|{Api}({ApiHandle}) API failed with an error = {Result}.
Microsoft-Windows-WebIO|12|Microsoft-Windows-WebIO/Diagnostic|{Api}({ApiHandle}) API pending completion.
Microsoft-Windows-WebIO|13|Microsoft-Windows-WebIO/Diagnostic|{Api}({ApiHandle}) API completed.
Microsoft-Windows-WebIO|14|Microsoft-Windows-WebIO/Diagnostic|{Api}({ApiHandle}) API completed with an error = {Result}.
Microsoft-Windows-WebIO|15|Microsoft-Windows-WebIO/Diagnostic|{Request}: Set Request Option {Option} (Handle {RequestHandle}) (Error {Error}) (Length {Length}) (Value {Value})
Microsoft-Windows-WebIO|17|Microsoft-Windows-WebIO/Diagnostic|{Request}: WebCreateHttpRequest completed successfully. (Session {Session}[{SessionHandle}]) (Method {Method}) (URI {URI}) (Version {VersionMajor}.{VersionMinor}) -> (Request Handle {RequestHandle})
Microsoft-Windows-WebIO|18|Microsoft-Windows-WebIO/Diagnostic|{Session}: WebCreateHttpRequest failed with error: {Error}. (Session {Session}[{SessionHandle}]) (Method {Method}) (URI {URI}) (Version {VersionMajor}.{VersionMinor})
Microsoft-Windows-WebIO|19|Microsoft-Windows-WebIO/Diagnostic|{ApiObject}: WebCloseHttpRequest called (Handle {ApiHandle}) (Flags {Flags})
Microsoft-Windows-WebIO|20|Microsoft-Windows-WebIO/Diagnostic|{ApiObject} WebCloseHttpRequest failed with an error = {Error}. (Handle {ApiHandle}) (Flags {Flags})
Microsoft-Windows-WebIO|21|Microsoft-Windows-WebIO/Diagnostic|Synchronous API Event Handle Signall (Event {Event}) (Error {Error}) (Information {Information})
Microsoft-Windows-WebIO|22|Microsoft-Windows-WebIO/Diagnostic|Synchronous API Event Handle Wait Completed (Handle {Handle}) (Event {Event}) (Error {Error}) (Information {Information})
Microsoft-Windows-WebIO|23|Microsoft-Windows-WebIO/Diagnostic|{Request}: WebSetHttpRequestInformationRoutine completed successfully. (Handle {RequestHandle}) (Flags {Flags}) (InformationRoutine {InformationRoutine}) (InformationContext {InformationContext})
Microsoft-Windows-WebIO|24|Microsoft-Windows-WebIO/Diagnostic|{Request}: WebSetHttpRequestInformationRoutine failed with an error = {Error}. (Handle {RequestHandle}) (Flags {Flags}) (InformationRoutine {InformationRoutine}) (InformationContext {InformationContext})
